socks4://181.129.182.138:5678,CO,Bucaramanga
http://45.65.138.48:999,CO,Unknown
http://45.65.137.218:999,CO,Unknown
http://209.14.98.6:8080,CO,Unknown
http://170.239.205.185:999,CO,Unknown
http://190.145.227.114:999,CO,Unknown
http://190.242.157.215:8080,CO,Cali
http://190.242.58.99:999,CO,Unknown
http://181.129.185.130:999,CO,Unknown
http://181.119.84.221:8080,CO,Unknown
http://38.191.204.45:999,CO,Unknown
http://181.204.123.69:999,CO,Unknown
http://190.131.205.150:999,CO,Unknown
http://190.60.56.226:999,CO,Unknown
http://200.85.232.91:3128,CO,Unknown
http://38.224.21.1:999,CO,Unknown
http://170.239.205.197:999,CO,Unknown
http://72.10.164.178:12293,CO,Unknown
http://38.191.211.235:999,CO,Unknown
http://201.184.68.220:8080,CO,Medell?n
