socks5://64.227.131.240:1080,IN,Bengaluru
socks4://202.179.88.233:51951,IN,Unknown
socks4://115.187.50.40:5678,IN,Unknown
socks4://117.216.46.148:1080,IN,Unknown
http://4.188.236.47:443,IN,Unknown
http://45.114.142.178:443,IN,Unknown
http://136.226.232.13:10230,IN,Unknown
http://203.115.101.58:443,IN,Unknown
http://165.225.120.33:11368,IN,Unknown
http://103.162.66.10:8080,IN,Unknown
http://103.148.62.1:8080,IN,Unknown
http://103.199.215.43:6262,IN,Unknown
http://103.159.68.146:8080,IN,Unknown
http://175.101.240.38:80,IN,Unknown
http://4.213.167.178:80,IN,Pune
http://4.213.98.253:80,IN,Pune
http://103.155.130.134:8082,IN,Unknown
http://103.105.176.232:8080,IN,Unknown
http://103.141.247.6:8080,IN,Unknown
http://65.1.148.157:80,IN,Mumbai
